Time(ns),PB_com,PB_pro,PB_lig,SA_com,SA_pro,SA_lig,vdw,cou,cou (with DH),MM,MM (with DH),dPB,dSA,MM-PBSA,MM-PBSA (with DH)
0.0,-5206.5111,-5388.3581,-152.3988,229.3924,239.1579,25.0333,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,334.2458,-34.7988,-167.6412,-167.5377
1.0,-5313.8684,-5472.5088,-170.2467,234.2394,244.4885,24.4964,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,328.8872,-34.7454,-172.9465,-172.843
2.0,-5550.5471,-5701.2118,-166.2548,235.3625,245.6545,24.5681,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,316.9195,-34.8602,-185.0289,-184.9254
3.0,-5104.227,-5266.7147,-162.5107,228.2543,237.2297,24.6767,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,324.9985,-33.6521,-175.7419,-175.6383
4.0,-5467.8749,-5634.1137,-161.0314,230.309,239.6917,24.4086,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,327.2702,-33.7913,-173.6093,-173.5057
5.0,-5672.0773,-5850.488,-169.7624,238.2294,247.881,25.08,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,348.1732,-34.7316,-153.6466,-153.5431
6.0,-5600.0125,-5760.7638,-177.1119,232.8186,242.2307,24.0686,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,337.8632,-33.4807,-162.7057,-162.6022
7.0,-5635.3152,-5777.9486,-182.6239,236.0188,245.3809,24.9116,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,325.2573,-34.2736,-176.1046,-176.001
8.0,-5678.4563,-5826.6856,-157.536,234.8941,243.8024,24.5231,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,305.7653,-33.4314,-194.7543,-194.6508
9.0,-5869.7644,-6036.3332,-173.2572,232.2187,241.7104,24.7104,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,339.8261,-34.2021,-161.4643,-161.3607
10.0,-5733.7447,-5895.5051,-150.833,234.483,243.8926,24.8429,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,312.5934,-34.2525,-188.7473,-188.6438
Mean,-5530.2181,-5691.8756,-165.7788,233.2927,242.8291,24.6654,-326.3941,-140.6941,-140.5906,-467.0882,-466.9847,327.4363,-34.2018,-173.8537,-173.7502
Std,234.9663,232.3858,10.0386,3.0306,3.1801,0.297,0.0,0.0,0.0,0.0,0.0,12.4579,0.5439,12.3197,12.3197
